               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.032977,            0.012643,           0.0037674,             0.91508,             0.91713,             0.92502,             0.46453,            0.033046,            0.011127,           0.0023253,            0.004852,            0.004852,            0.004852
                 106,            0.032527,            0.013084,           0.0025426,             0.94797,             0.88546,             0.91761,             0.46419,            0.034228,            0.011494,           0.0021678,           0.0048025,           0.0048025,           0.0048025
                 107,            0.031646,            0.012635,           0.0023075,             0.94084,             0.89846,             0.91105,             0.47275,            0.034477,            0.011018,           0.0022572,            0.004753,            0.004753,            0.004753
                 108,            0.034075,            0.012472,           0.0027143,             0.94062,             0.89365,             0.91086,             0.47154,            0.034863,            0.011214,           0.0025836,           0.0047035,           0.0047035,           0.0047035
                 109,             0.03381,            0.012491,           0.0029989,             0.93879,             0.89355,             0.91169,              0.4531,            0.034231,            0.011442,           0.0023474,            0.004654,            0.004654,            0.004654
                 110,            0.030841,            0.012325,           0.0017196,             0.95068,             0.89195,             0.91643,             0.47353,            0.033443,             0.01107,           0.0020651,           0.0046045,           0.0046045,           0.0046045
                 111,            0.030756,            0.012394,           0.0029882,             0.94588,              0.8929,             0.91644,             0.46707,            0.034613,            0.011104,           0.0020037,            0.004555,            0.004555,            0.004555
                 112,            0.031465,            0.012591,           0.0017914,             0.93657,             0.89707,             0.91633,             0.47246,            0.033869,            0.011224,           0.0021541,           0.0045055,           0.0045055,           0.0045055
                 113,            0.034191,            0.012098,           0.0022651,             0.92186,             0.90753,             0.91655,             0.47122,            0.033831,            0.011363,           0.0020638,            0.004456,            0.004456,            0.004456
                 114,            0.033183,            0.012281,           0.0026694,              0.9469,             0.89098,             0.91446,             0.48539,            0.033812,            0.011227,           0.0019635,           0.0044065,           0.0044065,           0.0044065
